,uid,facname,number,street,address,city,borough,borocode,postcode,latitude,longitude,xcoord,ycoord,bin,bbl,community board,council district,census tract,nta,facgroup,facsubgrp,factype,capacity,captype,proptype,optype,opname,opabbrev,overlevel,overagency,overabbrev,datasource,facdomain,schooldist,policeprct,servarea
58,M060066,"100 UNITED NATIONS PLAZA, NEW YORK, NY 10017",100,UNITED NATIONS PLAZA,100 UNITED NATIONS PLAZA,NEW YORK,Manhattan,1,10017.0,40.7531,-73.967642,993215.1065120001,213652.972584,1039205,1013417503,106,4,9000,MN19,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,17,Local
59,M010013,"100 WALL STREET, NEW YORK, NY 10005",100,WALL STREET,100 WALL STREET,NEW YORK,Manhattan,1,10005.0,40.7052203222,-74.006799595,982364.750309,196207.33138800002,1000875,1000380001,101,1,700,MN25,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,1,Local
61,M010007,"100 WILLIAM STREET, NEW YORK, NY 10038",100,WILLIAM STREET,100 WILLIAM STREET,NEW YORK,Manhattan,1,10038.0,40.7083386562,-74.007175085,982260.7353370001,197343.442469,1001116,1000680036,101,1,1502,MN25,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,1,Local
62,a16f5611a580a7c9540a89ce122a28fe,100% PLAYGROUND,10002,GLENWOOD ROAD,10002 GLENWOOD ROAD,BROOKLYN,Brooklyn,3,11236.0,40.646781415999996,-73.8994768646,1012145.3821899999,174932.295352,3229774,3081880030,318,46,97400,BK50,PARKS AND PLAZAS,RECREATION AND WATERFRONT SITES,JOINTLY OPERATED PLAYGROUND,0,,,Public,NYC Department of Parks and Recreation,NYCDPR,City,NYC Department of Parks and Recreation,NYCDPR,dpr_parksproperties,"PARKS, GARDENS, AND HISTORICAL SITES",18.0,69,Local
65,M010002,"101 BARCLAY STREET, NEW YORK, NY 10007",101,BARCLAY STREET,101 BARCLAY STREET,NEW YORK,Manhattan,1,10007.0,40.7144705293,-74.0121593122,980879.187668,199577.62202,1001416,1001280002,101,1,2100,MN24,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,1,Local
68,M050061,"101 PARK AVENUE, NEW YORK, NY 10178",101,PARK AVENUE,101 PARK AVENUE,NEW YORK,Manhattan,1,10178.0,40.7508089876,-73.9776148041,990452.255077,212817.419395,1036144,1012950001,105,4,8000,MN20,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,14,Local
87,M050071,"108 FIFTH AVENUE, NEW YORK, NY 10011",108,FIFTH AVENUE,108 FIFTH AVENUE,NEW YORK,Manhattan,1,10011.0,40.737289000000004,-73.993043,986177.963751,207890.94059800002,1015318,1008177501,105,3,5400,MN13,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,13,Local
90,811120bd246b5a144be5c633d75c847b,11 BC SERENITY GARDEN,626,EAST 11 STREET,626 EAST 11 STREET,NEW YORK,Manhattan,1,10009.0,40.726805,-73.978464,990219.118884,204071.94850899998,0,1003930020,103,2,2800,MN28,PARKS AND PLAZAS,GARDENS,GARDEN,0,,,Public,NYC Department of Parks and Recreation,NYCDPR,City,NYC Department of Parks and Recreation,NYCDPR,dpr_parksproperties,"PARKS, GARDENS, AND HISTORICAL SITES",1.0,9,Local
95,M050006,"110 EAST 59 STREET, NEW YORK, NY 10022",110,EAST 59 STREET,110 EAST 59 STREET,NEW YORK,Manhattan,1,10022.0,40.7623912305,-73.969305804,992752.946893,217037.904866,1037165,1013130005,105,4,11203,MN19,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,18,Local
97,M010012,"110 WALL STREET, NEW YORK, NY 10005",110,WALL STREET,110 WALL STREET,NEW YORK,Manhattan,1,10005.0,40.704901124,-74.0063341974,982493.7776149999,196091.028239,1000872,1000370008,101,1,700,MN25,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,1,Local
98,fbc6ec03fbc03a6fe223634fcf043e8d,110TH STREET BLOCK ASSOCIATION GARDEN,1651,MADISON AVENUE,1651 MADISON AVENUE,NEW YORK,Manhattan,1,10029.0,40.796166,-73.947331,998833.036963,229346.08929699997,0,1016160023,111,8,17402,MN33,PARKS AND PLAZAS,GARDENS,GARDEN,0,,,Public,NYC Department of Parks and Recreation,NYCDPR,City,NYC Department of Parks and Recreation,NYCDPR,dpr_parksproperties,"PARKS, GARDENS, AND HISTORICAL SITES",4.0,23,Local
99,4f40a92f0cf06d531e3cbc5ff0293b0e,110TH STREET-CATHEDRAL PARKWAY SUBWAY STATION (IRT),,,,NEW YORK,Manhattan,1,10025.0,40.8042611279,-73.96666396180001,993478.988204,232292.79952399997,0,0,109,7,19900,MN09,HISTORICAL SITES,HISTORICAL SITES,STATE HISTORIC PLACE,0,,,Non-public,,,State,"The New York State Office of Parks, Recreation and Historic Preservation",NYSOPRHP,nysparks_historicplaces,"PARKS, GARDENS, AND HISTORICAL SITES",3.0,26,Local
101,M080041,"111 EAST 85 STREET, NEW YORK, NY 10028",111,EAST 85 STREET,111 EAST 85 STREET,NEW YORK,Manhattan,1,10028.0,40.7795442719,-73.9565958961,996270.765645,223288.818058,1047928,1015140008,108,4,14801,MN40,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,19,Local
103,K020006,"111 LIVINGSTON STREET, BROOKLYN, NY 11201",111,LIVINGSTON STREET,111 LIVINGSTON STREET,BROOKLYN,Brooklyn,3,11201.0,40.6915333998,-73.98984103789999,987067.243146,191220.869741,3002555,3002660001,302,33,900,BK09,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",15.0,84,Local
104,M010015,"111 WALL STREET, NEW YORK, NY 10005",111,WALL STREET,111 WALL STREET,NEW YORK,Manhattan,1,10005.0,40.704249133299996,-74.0069997946,982309.214875,195853.50253599999,1000868,1000350010,101,1,700,MN25,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,1,Local
108,M050055,"1133 SIXTH AVENUE, NEW YORK, NY 10036",1133,SIXTH AVENUE,1133 SIXTH AVENUE,NEW YORK,Manhattan,1,10036.0,40.7559688186,-73.9838054117,988736.6790069999,214696.93522,1080824,1009960029,105,4,11900,MN17,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,14,Local
110,M050054,"1155 SIXTH AVENUE, NEW YORK, NY 10036",1155,SIXTH AVENUE,1155 SIXTH AVENUE,NEW YORK,Manhattan,1,10036.0,40.7566696058,-73.9833705063,988857.120203,214952.27737399997,1022631,1009970029,105,4,11900,MN17,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,14,Local
113,6ebe691e1468e86adf8bbb032a3b8d94,116 JOHN STREET,,,,NEW YORK,Manhattan,1,10038.0,40.7074774799,-74.0058928288,982616.2148290001,197029.663521,0,1000690032,101,1,1502,MN25,HISTORICAL SITES,HISTORICAL SITES,STATE HISTORIC PLACE,0,,,Non-public,,,State,"The New York State Office of Parks, Recreation and Historic Preservation",NYSOPRHP,nysparks_historicplaces,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,1,Local
114,M050052,"1166 SIXTH AVENUE, NEW YORK, NY 10036",1166,SIXTH AVENUE,1166 SIXTH AVENUE,NEW YORK,Manhattan,1,10036.0,40.756820000000005,-73.981851,989278.080672,215007.15443400003,1071414,1012617501,105,4,9600,MN17,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,18,Local
115,42001c151bef95e86150b36fb7795e38,116TH STREET-COLUMBIA UNIVERSITY SUBWAY STATION (IRT),,,,NEW YORK,Manhattan,1,10025.0,40.8079733636,-73.9639377455,994233.176634,233645.59699000002,0,0,109,7,20500,MN09,HISTORICAL SITES,HISTORICAL SITES,STATE HISTORIC PLACE,0,,,Non-public,,,State,"The New York State Office of Parks, Recreation and Historic Preservation",NYSOPRHP,nysparks_historicplaces,"PARKS, GARDENS, AND HISTORICAL SITES",3.0,26,Local
117,2257d5b7f635da865a5873282de7f03b,117TH ST COMMUNITY GARDEN,172,EAST 117 STREET,172 EAST 117 STREET,NEW YORK,Manhattan,1,10035.0,40.7988878696,-73.9404999255,1000723.75674,230338.97193000003,1089914,1016440046,111,8,18200,MN34,PARKS AND PLAZAS,GARDENS,GARDEN,0,,,Public,NYC Department of Parks and Recreation,NYCDPR,City,NYC Department of Parks and Recreation,NYCDPR,dpr_parksproperties,"PARKS, GARDENS, AND HISTORICAL SITES",4.0,25,Local
120,M050113,"1185 BROADWAY, NEW YORK, NY 10001",1185,BROADWAY,1185 BROADWAY,NEW YORK,Manhattan,1,10001.0,40.745573,-73.988935,987316.015033,210909.182074,0,1008300024,105,3,7600,MN17,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,13,Local
132,M050047,1211 AVENUE OF THE AMERICAS,1211,SIXTH AVENUE,1211 SIXTH AVENUE,NEW YORK,Manhattan,1,10036.0,40.758665027,-73.9823558846,989138.069769,215679.329354,1022678,1010000029,105,4,12500,MN17,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,18,Local
141,M050067,"1250 BROADWAY, NEW YORK, NY 10001",1250,BROADWAY,1250 BROADWAY,NEW YORK,Manhattan,1,10001.0,40.7477050533,-73.987810518,987627.491101,211685.99873599998,1015805,1008330011,105,4,7600,MN17,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,14,Local
142,M050042,1251 AVENUE OF THE AMERICAS,1251,SIXTH AVENUE,1251 SIXTH AVENUE,NEW YORK,Manhattan,1,10020.0,40.759971,-73.981612,989344.053321,216155.180421,1022706,1010027501,105,4,12500,MN17,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,18,Local
145,d0006add3c453e046c7b4fd8c0c39186,125TH STREET PLAZA,,PARK AVENUE,,NEW YORK,Manhattan,1,10035.0,40.8047143689,-73.9392879885,1001057.83382,232461.99969499998,0,0,111,9,19800,MN34,PARKS AND PLAZAS,"STREETSCAPES, PLAZAS, AND MALLS",PEDESTRIAN PLAZA,0,,,Public,NYC Department of Transportation,NYCDOT,City,NYC Department of Transportation,NYCDOT,dot_pedplazas,"PARKS, GARDENS, AND HISTORICAL SITES",5.0,25,Local
152,M010060,"130 WILLIAM STREET, NEW YORK, NY 10038",130,WILLIAM STREET,130 WILLIAM STREET,NEW YORK,Manhattan,1,10038.0,40.709100171799996,-74.006292916,982505.333218,197620.866783,1090562,1000770015,101,1,1502,MN25,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,1,Local
153,M050030,"1301 SIXTH AVENUE, NEW YORK, NY 10019",1301,SIXTH AVENUE,1301 SIXTH AVENUE,NEW YORK,Manhattan,1,10019.0,40.7618421097,-73.98017733729999,989741.345667,216836.973692,1023161,1010050029,105,4,13100,MN17,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,18,Local
156,0ca5e0e55882e5f6ea845dfee540851b,132 ST BLOCK ASSOCIATION PARK,108,WEST 132 STREET,108 WEST 132 STREET,NEW YORK,Manhattan,1,10027.0,40.812311,-73.943149,999987.13491,235229.00394099997,0,1019160039,110,9,22600,MN03,PARKS AND PLAZAS,GARDENS,GARDEN,0,,,Public,NYC Department of Parks and Recreation,NYCDPR,City,NYC Department of Parks and Recreation,NYCDPR,dpr_parksproperties,"PARKS, GARDENS, AND HISTORICAL SITES",5.0,32,Local
158,M050083,1325 AVENUE OF THE AMERICAS,1325,SIXTH AVENUE,1325 SIXTH AVENUE,NEW YORK,Manhattan,1,10019.0,40.7628676873,-73.98068172939999,989601.534725,217210.594115,1076175,1010060013,105,4,13100,MN17,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,18,Local
159,8132cbd8aa1122d1217448070e9e8593,133 EAST 80TH STREET,,,,NEW YORK,Manhattan,1,10028.0,40.775933932,-73.9584915394,995746.3906149999,221973.19522800003,0,1015090016,108,4,14000,MN40,HISTORICAL SITES,HISTORICAL SITES,STATE HISTORIC PLACE,0,,,Non-public,,,State,"The New York State Office of Parks, Recreation and Historic Preservation",NYSOPRHP,nysparks_historicplaces,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,19,Local
160,M050026,"1330 SIXTH AVENUE, NEW YORK, NY 10019",1330,SIXTH AVENUE,1330 SIXTH AVENUE,NEW YORK,Manhattan,1,10019.0,40.7619320003,-73.9784648054,990215.749376,216869.83579699998,1034522,1012690001,105,4,10400,MN17,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,18,Local
166,M050079,"135 EAST 57 STREET, NEW YORK, NY 10022",135,EAST 57 STREET,135 EAST 57 STREET,NEW YORK,Manhattan,1,10022.0,40.761459985100004,-73.969609624,992668.9,216698.592243,1036904,1013120015,105,4,11203,MN19,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,18,Local
171,M050019,1370 AVENUE OF THE AMERICAS,1370,SIXTH AVENUE,1370 SIXTH AVENUE,NEW YORK,Manhattan,1,10019.0,40.7632622914,-73.97747388270001,990490.133341,217354.57362399998,1034855,1012710071,105,4,10400,MN17,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,18,Local
174,M010005,"140 BROADWAY, NEW YORK, NY 10005",140,BROADWAY,140 BROADWAY,NEW YORK,Manhattan,1,10005.0,40.708605037800005,-74.0099772288,981483.862835,197440.569407,1001027,1000480001,101,1,700,MN25,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,1,Local
181,275a82efb18a53657ff908e66c3cf50a,145TH STREET SUBWAY STATION (IRT),,,,NEW YORK,Manhattan,1,10039.0,40.8204749901,-73.9362472371,1001895.47225,238204.753274,0,0,110,9,23200,MN03,HISTORICAL SITES,HISTORICAL SITES,STATE HISTORIC PLACE,0,,,Non-public,,,State,"The New York State Office of Parks, Recreation and Historic Preservation",NYSOPRHP,nysparks_historicplaces,"PARKS, GARDENS, AND HISTORICAL SITES",5.0,32,Local
182,8cab7f193694f258e349a9157bca83d1,"146 EAST 38TH STREET, HOUSE AT",,,,NEW YORK,Manhattan,1,10016.0,40.7484653191,-73.97736968,990520.3920959999,211963.562962,0,1008930060,106,4,8000,MN20,HISTORICAL SITES,HISTORICAL SITES,STATE HISTORIC PLACE,0,,,Non-public,,,State,"The New York State Office of Parks, Recreation and Historic Preservation",NYSOPRHP,nysparks_historicplaces,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,17,Local
191,c846c8b89098846ba03b719d68f2cadd,"14TH STREET - UNION SQUARE SUBWAY STATION (IRT, BMT)",,,,NEW YORK,Manhattan,1,10003.0,40.7351909821,-73.990625806,986847.912215,207126.629017,0,1008450002,105,2,5200,MN13,HISTORICAL SITES,HISTORICAL SITES,STATE HISTORIC PLACE,0,,,Non-public,,,State,"The New York State Office of Parks, Recreation and Historic Preservation",NYSOPRHP,nysparks_historicplaces,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,13,Local
192,M010049,"15 CLIFF STREET, NEW YORK, NY 10038",15,CLIFF STREET,15 CLIFF STREET,NEW YORK,Manhattan,1,10038.0,40.708374,-74.005634,982687.996042,197356.28805899998,1085931,1000767501,101,1,1502,MN25,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,1,Local
206,X030001,"1560 BOONE AVENUE, BRONX, NY 10460",1560,BOONE AVENUE,1560 BOONE AVENUE,BRONX,Bronx,2,10460.0,40.833607,-73.884159,1016306.10661,243003.99953499998,2129027,2030147502,203,17,15700,BX75,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",12.0,42,Local
212,166f2074d71a62c4888637052b7d9a97,15TH STREET - PROSPECT PARK SUBWAY STATION (IND),,,,BROOKLYN,Brooklyn,3,11215.0,40.660492698,-73.9796843905,989886.467149,179912.342849,0,3011060005,307,39,16900,BK40,HISTORICAL SITES,HISTORICAL SITES,STATE HISTORIC PLACE,0,,,Non-public,,,State,"The New York State Office of Parks, Recreation and Historic Preservation",NYSOPRHP,nysparks_historicplaces,"PARKS, GARDENS, AND HISTORICAL SITES",15.0,72,Local
215,M010033,"160 WATER STREET, NEW YORK, NY 10038",160,WATER STREET,160 WATER STREET,NEW YORK,Manhattan,1,10038.0,40.7068117756,-74.0058629875,982624.4720709999,196787.126872,1001135,1000700043,101,1,1502,MN25,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,1,Local
221,M060006,"166 EAST 34 STREET, NEW YORK, NY 10016",166,EAST 34 STREET,166 EAST 34 STREET,NEW YORK,Manhattan,1,10016.0,40.7454043473,-73.97870312399999,990151.193566,210848.26022,1018502,1008890039,106,2,7200,MN20,PARKS AND PLAZAS,PRIVATELY OWNED PUBLIC SPACE,PRIVATELY OWNED PUBLIC SPACE,0,,,Non-public,Not Available,Non-public,City,NYC Department of City Planning,NYCDCP,dcp_pops,"PARKS, GARDENS, AND HISTORICAL SITES",2.0,17,Local
