,uid,facname,number,street,address,city,borough,borocode,postcode,latitude,longitude,xcoord,ycoord,bin,bbl,community board,council district,census tract,nta,facgroup,facsubgrp,factype,capacity,captype,proptype,optype,opname,opabbrev,overlevel,overagency,overabbrev,datasource,facdomain,schooldist,policeprct,servarea
124,08d5c6810d42a8f4309ae69a35f9a162,1185 COMMERCE REALTY LLC-RIZZO,1185,COMMERCE AVENUE,1185 COMMERCE AVENUE,BRONX,Bronx,2,10462.0,40.8341931821,-73.8413719228,1028145.9647700001,243236.116596,2027282,2038500001,209,13,9600,BX59,OTHER PROPERTY,MISCELLANEOUS USE,NO USE,0,,City Owned,Public,NYC Economic Development Corporation,NYCEDC,City,NYC Economic Development Corporation,NYCEDC,dcp_colp,ADMINISTRATION OF GOVERNMENT,8.0,43,Regional
129,c3ae45a379e582c678a157b5e1b85022,1200 ZEREGA REALTY  LLC,1200,ZEREGA AVENUE,1200 ZEREGA AVENUE,BRONX,Bronx,2,10462.0,40.8333576787,-73.8434274644,1027577.6948,242930.68889299998,2027194,2038410001,209,13,9600,BX59,OTHER PROPERTY,PROPERTIES LEASED OR LICENSED TO NON-PUBLIC ENTITIES,IN USE-TENANTED,0,,City Owned,Public,NYC Department of Citywide Administrative Services,NYCDCAS,City,NYC Department of Citywide Administrative Services,NYCDCAS,dcp_colp,ADMINISTRATION OF GOVERNMENT,8.0,43,Regional
130,5fe99f3003e9b026fcc99b81dbec96a4,1200 ZEREGA REALTY  LLC,1200,ZEREGA AVENUE,1200 ZEREGA AVENUE,BRONX,Bronx,2,10462.0,40.8333576787,-73.8434274644,1027577.6948,242930.68889299998,2027194,2038410001,209,13,9600,BX59,OTHER PROPERTY,MISCELLANEOUS USE,NO USE,0,,City Owned,Public,NYC Economic Development Corporation,NYCEDC,City,NYC Economic Development Corporation,NYCEDC,dcp_colp,ADMINISTRATION OF GOVERNMENT,8.0,43,Regional
149,da891caf429255cd7a172cd5d1d13346,126TH STREET BUS DEPOT,2460,2 AVENUE,2460 2 AVENUE,NEW YORK,Manhattan,1,10035.0,40.8031947185,-73.9315763046,1003193.20917,231909.911394,1054802,1018030001,111,8,24200,MN34,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",MAINTENANCE AND GARAGES,GARAGE,0,,City Owned,Public,Metropolitan Transportation Authority,MTA,State,Metropolitan Transportation Authority,MTA,dcp_colp,ADMINISTRATION OF GOVERNMENT,5.0,25,Regional
183,a2815aa4e1bdafca3c56e6590c7d51de,146TH ST. DEPOT,721,LENOX AVENUE,721 LENOX AVENUE,NEW YORK,Manhattan,1,10039.0,40.821966197600005,-73.936786828,1001745.73239,238747.94578200002,1060196,1020150006,110,9,23400,MN03,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",MAINTENANCE AND GARAGES,GARAGE,0,,City Owned,Public,Metropolitan Transportation Authority,MTA,State,Metropolitan Transportation Authority,MTA,dcp_colp,ADMINISTRATION OF GOVERNMENT,5.0,32,Regional
194,b4b71a12a55afe58dfc450841dfcde21,15 METROTECH CENTER,129,MYRTLE AVENUE,129 MYRTLE AVENUE,BROOKLYN,Brooklyn,3,11201.0,40.6940029248,-73.9844823347,988553.1381069999,192120.80806500002,3348771,3020470040,302,33,1500,BK38,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,OFFICE,0,,City Leased,Public,NYC Department of Information Technology and Telecommunications,NYCDOITT,City,NYC Department of Information Technology and Telecommunications,NYCDOITT,dcp_colp,ADMINISTRATION OF GOVERNMENT,13.0,84,Regional
195,123a45f87cf78f775b986125099522b2,15 METROTECH CENTER,129,MYRTLE AVENUE,129 MYRTLE AVENUE,BROOKLYN,Brooklyn,3,11201.0,40.6940029248,-73.9844823347,988553.1381069999,192120.80806500002,3348771,3020470040,302,33,1500,BK38,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,OFFICE,0,,City Leased,Public,NYC Human Resources Administration/Department of Social Services,NYCHRA/DSS,City,NYC Human Resources Administration,NYCHRA,dcp_colp,ADMINISTRATION OF GOVERNMENT,13.0,84,Regional
199,46e5c8e28cbf780df199a9b83a23094c,1509 NEWKIRK AVENUE,1509,NEWKIRK AVENUE,1509 NEWKIRK AVENUE,BROOKLYN,Brooklyn,3,11226.0,40.635940999999995,-73.963062,994502.040298,170968.992772,0,3052010038,314,40,52000,BK42,OTHER PROPERTY,MISCELLANEOUS USE,NO USE-VACANT LAND,0,,City Owned,Public,NYC Department of Citywide Administrative Services,NYCDCAS,City,NYC Department of Citywide Administrative Services,NYCDCAS,dcp_colp,ADMINISTRATION OF GOVERNMENT,22.0,70,Regional
224,6f781ee67a79c08961f16630389fce08,1680 LEXINGTON AVENUE - FMR PS 107,1680,LEXINGTON AVENUE,1680 LEXINGTON AVENUE,NEW YORK,Manhattan,1,10029.0,40.7919870269,-73.94678445560001,998985.2895790001,227823.636421,1051991,1016330013,111,8,17200,MN33,OTHER PROPERTY,PROPERTIES LEASED OR LICENSED TO NON-PUBLIC ENTITIES,IN USE-TENANTED,0,,City Owned,Public,NYC Department of Citywide Administrative Services,NYCDCAS,City,NYC Department of Citywide Administrative Services,NYCDCAS,dcp_colp,ADMINISTRATION OF GOVERNMENT,4.0,23,Regional
323,7ec816c53b72970bf7a4eae47263d898,23 STREET BULKHEAD,,,,BROOKLYN,Brooklyn,3,11232.0,40.664553000000005,-74.002026,983687.930352,181390.977718,0,3006440001,307,38,1800,,OTHER PROPERTY,PROPERTIES LEASED OR LICENSED TO NON-PUBLIC ENTITIES,IN USE-TENANTED,0,,City Owned,Public,NYC Economic Development Corporation,NYCEDC,City,NYC Economic Development Corporation,NYCEDC,dcp_colp,ADMINISTRATION OF GOVERNMENT,,0,Regional
324,90a9052ae5ba5a104f93992738045118,23 STREET BULKHEAD,,,,BROOKLYN,Brooklyn,3,11232.0,40.664553000000005,-74.002026,983687.930352,181390.977718,0,3006440001,307,38,1800,,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",STORAGE,INDOOR STORAGE (WAREHOUSE),0,,City Owned,Public,NYC Police Department,NYPD,City,NYC Police Department,NYPD,dcp_colp,ADMINISTRATION OF GOVERNMENT,,0,Regional
325,d93f4166fe3755c1f4b55bf190affb63,23 STREET BULKHEAD,,,,BROOKLYN,Brooklyn,3,11232.0,40.664553000000005,-74.002026,983687.930352,181390.977718,0,3006440001,307,38,1800,,OTHER PROPERTY,MISCELLANEOUS USE,NO USE,0,,City Owned,Public,NYC Department of Small Business Services,NYCSBS,City,NYC Department of Small Business Services,NYCSBS,dcp_colp,ADMINISTRATION OF GOVERNMENT,,0,Regional
351,3053477e24d1372147e02082e9c5d8fa,25 PRECINCT PERSONNEL PARKING,1689,PARK AVENUE,1689 PARK AVENUE,NEW YORK,Manhattan,1,10035.0,40.800802000000004,-73.941671,1000399.05759,231036.13831999997,0,1017670072,111,9,18200,MN34,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CITY AGENCY PARKING,OUTDOOR PARKING,0,,City Owned,Public,NYC Police Department,NYPD,City,NYC Police Department,NYPD,dcp_colp,ADMINISTRATION OF GOVERNMENT,4.0,25,Local
360,44bd5edc2ad4de52bb10cecfe861ff7b,25TH STREET PIER,106,25 STREET,106 25 STREET,BROOKLYN,Brooklyn,3,11232.0,40.663908,-74.003345,983321.993508,181155.997288,0,3006440109,307,38,1800,BK32,OTHER PROPERTY,PROPERTIES LEASED OR LICENSED TO NON-PUBLIC ENTITIES,IN USE-TENANTED,0,,City Owned,Public,NYC Economic Development Corporation,NYCEDC,City,NYC Economic Development Corporation,NYCEDC,dcp_colp,ADMINISTRATION OF GOVERNMENT,15.0,72,Regional
361,ce4caf947cbed5aca13de0cc456eaedf,25TH STREET PIER,106,25 STREET,106 25 STREET,BROOKLYN,Brooklyn,3,11232.0,40.663908,-74.003345,983321.993508,181155.997288,0,3006440109,307,38,1800,BK32,OTHER PROPERTY,MISCELLANEOUS USE,NO USE,0,,City Owned,Public,NYC Department of Small Business Services,NYCSBS,City,NYC Department of Small Business Services,NYCSBS,dcp_colp,ADMINISTRATION OF GOVERNMENT,15.0,72,Regional
362,ad3645c11f171efb8b998aed69166b4a,25TH STREET PIER,,,,BROOKLYN,Brooklyn,3,11232.0,40.663716,-74.003568,983260.123559,181086.04873,0,3006530103,307,38,1800,BK32,OTHER PROPERTY,PROPERTIES LEASED OR LICENSED TO NON-PUBLIC ENTITIES,IN USE-TENANTED,0,,City Owned,Public,NYC Economic Development Corporation,NYCEDC,City,NYC Economic Development Corporation,NYCEDC,dcp_colp,ADMINISTRATION OF GOVERNMENT,15.0,72,Regional
363,987af5d6daf33c37ee3cee365e148a6f,25TH STREET PIER,,,,BROOKLYN,Brooklyn,3,11232.0,40.663716,-74.003568,983260.123559,181086.04873,0,3006530103,307,38,1800,BK32,OTHER PROPERTY,MISCELLANEOUS USE,NO USE,0,,City Owned,Public,NYC Department of Small Business Services,NYCSBS,City,NYC Department of Small Business Services,NYCSBS,dcp_colp,ADMINISTRATION OF GOVERNMENT,15.0,72,Regional
371,2ad3d99e988e5b29b6023509ea232703,28-11 QUEENS PLAZA N-OFFICE,28-11,QUEENS PLAZA NORTH,28-11 QUEENS PLAZA NORTH,LONG ISLAND CITY,Queens,4,11101.0,40.7502567139,-73.9379967313,1001429.3559600001,212621.495738,4005022,4004170002,401,26,3300,QN68,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,AGENCY OFFICE,0,,City Owned,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,dcp_colp,ADMINISTRATION OF GOVERNMENT,30.0,114,Regional
372,f20b560c292dc1a705f9bab98bc3c61f,28-11 QUEENS PLAZA N-OFFICE,28-11,QUEENS PLAZA NORTH,28-11 QUEENS PLAZA NORTH,LONG ISLAND CITY,Queens,4,11101.0,40.7502567139,-73.9379967313,1001429.3559600001,212621.495738,4005022,4004170002,401,26,3300,QN68,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,AGENCY OFFICE,0,,City Owned,Public,NYC Department of Transportation,NYCDOT,City,NYC Department of Transportation,NYCDOT,dcp_colp,ADMINISTRATION OF GOVERNMENT,30.0,114,Regional
416,318b93bfea9293004012044c1ee080ad,32 PRECINCT OFF STREET PARKING,251,WEST 134 STREET,251 WEST 134 STREET,NEW YORK,Manhattan,1,10030.0,40.815540000000006,-73.945773,999260.0476170001,236404.98342600002,0,1019400013,110,9,22800,MN03,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CITY AGENCY PARKING,OUTDOOR PARKING,0,,City Owned,Public,NYC Police Department,NYPD,City,NYC Police Department,NYPD,dcp_colp,ADMINISTRATION OF GOVERNMENT,5.0,32,Local
417,6da42d88d267f25fe7c453c1a8b30ce0,32 PRECINCT PERSONNEL PARKING,227,WEST 135 STREET,227 WEST 135 STREET,NEW YORK,Manhattan,1,10030.0,40.816193,-73.945072,999453.93539,236643.015616,0,1019410015,110,9,22800,MN03,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CITY AGENCY PARKING,OUTDOOR PARKING,0,,City Owned,Public,NYC Police Department,NYPD,City,NYC Police Department,NYPD,dcp_colp,ADMINISTRATION OF GOVERNMENT,5.0,32,Local
424,7486315ce6f854cdf13da7fd359c3563,32PRECINCT OFF STREET PARKING,261,WEST 134 STREET,261 WEST 134 STREET,NEW YORK,Manhattan,1,10030.0,40.815683,-73.946105,999168.1178879999,236457.02673200003,0,1019400008,110,9,22800,MN03,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CITY AGENCY PARKING,OUTDOOR PARKING,0,,City Owned,Public,NYC Police Department,NYPD,City,NYC Police Department,NYPD,dcp_colp,ADMINISTRATION OF GOVERNMENT,5.0,32,Local
455,295016c6e32d3ca5999ffc6b57d2dc81,35 ST PIER (CON-ED PIER),,,,,Manhattan,1,,40.743956,-73.97088000000001,992319.093841,210321.20488499998,0,1009670050,106,4,8601,,OTHER PROPERTY,PROPERTIES LEASED OR LICENSED TO NON-PUBLIC ENTITIES,IN USE-TENANTED,0,,City Owned,Public,NYC Economic Development Corporation,NYCEDC,City,NYC Economic Development Corporation,NYCEDC,dcp_colp,ADMINISTRATION OF GOVERNMENT,,0,Regional
456,d3207467193c65a08f80e1aadb980561,35 ST PIER (CON-ED PIER),,,,,Manhattan,1,,40.743956,-73.97088000000001,992319.093841,210321.20488499998,0,1009670050,106,4,8601,,OTHER PROPERTY,MISCELLANEOUS USE,NO USE,0,,City Owned,Public,NYC Department of Small Business Services,NYCSBS,City,NYC Department of Small Business Services,NYCSBS,dcp_colp,ADMINISTRATION OF GOVERNMENT,,0,Regional
477,db688680e8db34f8ef2739ec68756bc7,3RD WARD YARD,,,,FLUSHING,Queens,4,11365.0,40.7475,-73.797454,1040372.05755,211675.940179,0,4055740001,407,20,120700,QN52,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",STORAGE,COMBINED MAINTENANCE/STORAGE FACILITY,0,,City Owned,Public,NYC Department of Environmental Protection,NYCDEP,City,NYC Department of Environmental Protection,NYCDEP,dcp_colp,ADMINISTRATION OF GOVERNMENT,25.0,109,Regional
485,13c415a20a772b65fbd6ea3f4c4cd718,40 PRECINCT PERSONNEL PARKING,339,EAST 139 STREET,339 EAST 139 STREET,BRONX,Bronx,2,10454.0,40.810656,-73.9239,1005316.0442299999,234630.07227600002,0,2023020059,201,8,3900,BX39,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CITY AGENCY PARKING,OUTDOOR PARKING,0,,City Owned,Public,NYC Police Department,NYPD,City,NYC Police Department,NYPD,dcp_colp,ADMINISTRATION OF GOVERNMENT,7.0,40,Local
507,3ea56b3bd1e6845e72541d8dbeeeb691,42ND ST DEV/TIMES SQUARE,1485,BROADWAY,1485 BROADWAY,NEW YORK,Manhattan,1,10036.0,40.7565638448,-73.98704676979999,987838.635035,214913.57319499998,1024686,1010140033,105,3,11900,MN17,OTHER PROPERTY,PROPERTIES LEASED OR LICENSED TO NON-PUBLIC ENTITIES,IN USE-TENANTED,0,,City Owned,Public,NYC Economic Development Corporation,NYCEDC,City,NYC Economic Development Corporation,NYCEDC,dcp_colp,ADMINISTRATION OF GOVERNMENT,2.0,14,Regional
508,e80689b249c172089bb46428169aa5d6,42ND ST DEV/TIMES SQUARE,1490,BROADWAY,1490 BROADWAY,NEW YORK,Manhattan,1,10036.0,40.7560030373,-73.9857041165,988210.6445200001,214709.310625,1085682,1009950005,105,4,11900,MN17,OTHER PROPERTY,PROPERTIES LEASED OR LICENSED TO NON-PUBLIC ENTITIES,IN USE-TENANTED,0,,City Owned,Public,NYC Economic Development Corporation,NYCEDC,City,NYC Economic Development Corporation,NYCEDC,dcp_colp,ADMINISTRATION OF GOVERNMENT,2.0,14,Regional
509,73c9d0fffdbc9a8d7e8c8c8833dd92b5,42ND ST DEV/TIMES SQUARE,258,WEST 42 STREET,258 WEST 42 STREET,NEW YORK,Manhattan,1,10036.0,40.756678845,-73.98927021899999,987222.63315,214955.388267,1024669,1010130057,105,3,11300,MN17,OTHER PROPERTY,PROPERTIES LEASED OR LICENSED TO NON-PUBLIC ENTITIES,IN USE-TENANTED,0,,City Owned,Public,NYC Economic Development Corporation,NYCEDC,City,NYC Economic Development Corporation,NYCEDC,dcp_colp,ADMINISTRATION OF GOVERNMENT,2.0,14,Regional
510,98901a41881aaf41c876965e454ac866,42ND ST DEV/TIMES SQUARE,636,8 AVENUE,636 8 AVENUE,NEW YORK,Manhattan,1,10018.0,40.755928999999995,-73.989717,987098.886738,214682.18047,1087186,1010127501,105,3,11300,MN17,OTHER PROPERTY,PROPERTIES LEASED OR LICENSED TO NON-PUBLIC ENTITIES,IN USE-TENANTED,0,,City Owned,Public,NYC Economic Development Corporation,NYCEDC,City,NYC Economic Development Corporation,NYCEDC,dcp_colp,ADMINISTRATION OF GOVERNMENT,2.0,14,Regional
511,8c77098d5b70b67d029ff0f4f651b8d2,42ND ST DEV/TIMESSQUARE,582,7 AVENUE,582 7 AVENUE,NEW YORK,Manhattan,1,10036.0,40.755857,-73.987573,987692.881816,214656.025526,0,1010130029,105,3,11300,MN17,OTHER PROPERTY,PROPERTIES LEASED OR LICENSED TO NON-PUBLIC ENTITIES,IN USE-TENANTED,0,,City Owned,Public,NYC Economic Development Corporation,NYCEDC,City,NYC Economic Development Corporation,NYCEDC,dcp_colp,ADMINISTRATION OF GOVERNMENT,2.0,14,Regional
533,d813b47215f726811c08665a1ca64e9c,46 PRECINCT OFF STREET PARKING,,,,BRONX,Bronx,2,10457.0,40.853318,-73.899969,1011922.8848,250180.062171,0,2031490106,205,15,38100,BX41,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CITY AGENCY PARKING,OUTDOOR PARKING,0,,City Owned,Public,NYC Police Department,NYPD,City,NYC Police Department,NYPD,dcp_colp,ADMINISTRATION OF GOVERNMENT,10.0,46,Local
534,35c5d0de62b8d82f0ab8c6c82e06136b,46 PRECINCT OFF-STREET PARKING,2119,VALENTINE AVENUE,2119 VALENTINE AVENUE,BRONX,Bronx,2,10457.0,40.853521,-73.89990300000001,1011941.0587200001,250254.043637,0,2031490101,205,15,38100,BX41,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CITY AGENCY PARKING,OUTDOOR PARKING,0,,City Owned,Public,NYC Police Department,NYPD,City,NYC Police Department,NYPD,dcp_colp,ADMINISTRATION OF GOVERNMENT,10.0,46,Local
538,891cccaf92b5c63635c2daf8dbb527c9,47TH PRECINCT OFF STREET PARKING,4134,LACONIA AVENUE,4134 LACONIA AVENUE,BRONX,Bronx,2,10466.0,40.888021,-73.84633199999999,1026738.99736,262845.19799099996,0,2049270002,212,12,42600,BX62,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CITY AGENCY PARKING,OUTDOOR PARKING,0,,City Owned,Public,NYC Police Department,NYPD,City,NYC Police Department,NYPD,dcp_colp,ADMINISTRATION OF GOVERNMENT,11.0,47,Local
